Type,Frame,TimestampUs,ThreadId,Category,Name,DurationMs,GameThreadMs,RenderPrepareMs,RenderThreadMs,RenderFrameMs,CPUFrameMs,GPUFrameMs,TotalFrameMs,DrawCalls,Triangles,VisibleObjects,Batches
Frame,127325,1781696217690697,54216,"Frame","Frame",,0.0446,0.0198,0,0,0.0446,0,0.0446,0,0,0,0
Frame,127326,1781696217690769,54216,"Frame","Frame",,0.0404,0.0181,0,0,0.0404,0,0.0404,0,0,0,0
Frame,127327,1781696217690840,54216,"Frame","Frame",,0.0398,0.018,0,0,0.0398,0,0.0398,0,0,0,0
Frame,127328,1781696217690926,54216,"Frame","Frame",,0.0519,0.0242,0,0,0.0519,0,0.0519,0,0,0,0
Frame,127329,1781696217691011,54216,"Frame","Frame",,0.0513,0.0238,0,0,0.0513,0,0.0513,0,0,0,0
Frame,127330,1781696217691100,54216,"Frame","Frame",,0.0537,0.0241,0,0,0.0537,0,0.0537,0,0,0,0
Frame,127331,1781696217691194,54216,"Frame","Frame",,0.0581,0.0274,0,0,0.0581,0,0.0581,0,0,0,0
Frame,127332,1781696217691292,54216,"Frame","Frame",,0.0611,0.0289,0,0,0.0611,0,0.0611,0,0,0,0
Frame,127333,1781696217691387,54216,"Frame","Frame",,0.058,0.0252,0,0,0.058,0,0.058,0,0,0,0
Frame,127334,1781696217691475,54216,"Frame","Frame",,0.0525,0.0241,0,0,0.0525,0,0.0525,0,0,0,0
Frame,127335,1781696217691548,54216,"Frame","Frame",,0.0441,0.0194,0,0,0.0441,0,0.0441,0,0,0,0
Frame,127336,1781696217691628,54216,"Frame","Frame",,0.0477,0.0226,0,0,0.0477,0,0.0477,0,0,0,0
Frame,127337,1781696217691705,54216,"Frame","Frame",,0.0476,0.0209,0,0,0.0476,0,0.0476,0,0,0,0
Frame,127338,1781696217691780,54216,"Frame","Frame",,0.0448,0.0206,0,0,0.0448,0,0.0448,0,0,0,0
Frame,127339,1781696217691852,54216,"Frame","Frame",,0.0421,0.0182,0,0,0.0421,0,0.0421,0,0,0,0
Frame,127340,1781696217691918,54216,"Frame","Frame",,0.0374,0.0169,0,0,0.0374,0,0.0374,0,0,0,0
Frame,127341,1781696217691983,54216,"Frame","Frame",,0.0372,0.0163,0,0,0.0372,0,0.0372,0,0,0,0
Frame,127342,1781696217692046,54216,"Frame","Frame",,0.036,0.0161,0,0,0.036,0,0.036,0,0,0,0
Frame,127343,1781696217692114,54216,"Frame","Frame",,0.0387,0.0176,0,0,0.0387,0,0.0387,0,0,0,0
Frame,127344,1781696217692184,54216,"Frame","Frame",,0.0417,0.0181,0,0,0.0417,0,0.0417,0,0,0,0
Frame,127345,1781696217692252,54216,"Frame","Frame",,0.0394,0.0175,0,0,0.0394,0,0.0394,0,0,0,0
Frame,127346,1781696217692323,54216,"Frame","Frame",,0.0421,0.0201,0,0,0.0421,0,0.0421,0,0,0,0
Frame,127347,1781696217692393,54216,"Frame","Frame",,0.0415,0.0194,0,0,0.0415,0,0.0415,0,0,0,0
Frame,127348,1781696217692466,54216,"Frame","Frame",,0.0422,0.0193,0,0,0.0422,0,0.0422,0,0,0,0
Frame,127349,1781696217692539,54216,"Frame","Frame",,0.0449,0.0179,0,0,0.0449,0,0.0449,0,0,0,0
Frame,127350,1781696217692610,54216,"Frame","Frame",,0.0415,0.0193,0,0,0.0415,0,0.0415,0,0,0,0
Frame,127351,1781696217692684,54216,"Frame","Frame",,0.0414,0.0184,0,0,0.0414,2.31293,2.31293,0,0,0,0
Frame,127352,1781696217692771,54216,"Frame","Frame",,0.0555,0.0258,0,0,0.0555,0,0.0555,0,0,0,0
Frame,127353,1781696217692866,54216,"Frame","Frame",,0.0549,0.0233,0,0,0.0549,0,0.0549,0,0,0,0
Frame,127354,1781696217692936,54216,"Frame","Frame",,0.0407,0.0189,0,0,0.0407,0,0.0407,0,0,0,0
Frame,127355,1781696217693004,54216,"Frame","Frame",,0.0368,0.0159,0,0,0.0368,0,0.0368,0,0,0,0
Frame,127356,1781696217693071,54216,"Frame","Frame",,0.0375,0.0167,0,0,0.0375,0,0.0375,0,0,0,0
Frame,127357,1781696217693138,54216,"Frame","Frame",,0.0397,0.017,0,0,0.0397,0,0.0397,0,0,0,0
Frame,127358,1781696217693205,54216,"Frame","Frame",,0.038,0.017,0,0,0.038,0,0.038,0,0,0,0
Frame,127359,1781696217693277,54216,"Frame","Frame",,0.0389,0.0187,0,0,0.0389,0,0.0389,0,0,0,0
Frame,127360,1781696217693353,54216,"Frame","Frame",,0.0403,0.0165,0,0,0.0403,0,0.0403,0,0,0,0
Frame,127361,1781696217693417,54216,"Frame","Frame",,0.036,0.0165,0,0,0.036,0,0.036,0,0,0,0
Frame,127362,1781696217693490,54216,"Frame","Frame",,0.0382,0.0184,0,0,0.0382,0,0.0382,0,0,0,0
Frame,127363,1781696217693556,54216,"Frame","Frame",,0.0382,0.0184,0,0,0.0382,0,0.0382,0,0,0,0
Frame,127364,1781696217693624,54216,"Frame","Frame",,0.0355,0.016,0,0,0.0355,0,0.0355,0,0,0,0
Frame,127365,1781696217693699,54216,"Frame","Frame",,0.0406,0.0192,0,0,0.0406,0,0.0406,0,0,0,0
Frame,127366,1781696217693766,54216,"Frame","Frame",,0.039,0.0181,0,0,0.039,0,0.039,0,0,0,0
Frame,127367,1781696217693837,54216,"Frame","Frame",,0.0373,0.0162,0,0,0.0373,0,0.0373,0,0,0,0
Frame,127368,1781696217693907,54216,"Frame","Frame",,0.0405,0.0193,0,0,0.0405,0,0.0405,0,0,0,0
Frame,127369,1781696217693976,54216,"Frame","Frame",,0.0406,0.017,0,0,0.0406,0,0.0406,0,0,0,0
Frame,127370,1781696217694047,54216,"Frame","Frame",,0.0401,0.0172,0,0,0.0401,0,0.0401,0,0,0,0
Frame,127371,1781696217694115,54216,"Frame","Frame",,0.0372,0.0162,0,0,0.0372,0,0.0372,0,0,0,0
Frame,127372,1781696217694180,54216,"Frame","Frame",,0.036,0.0164,0,0,0.036,0,0.036,0,0,0,0
Frame,127373,1781696217694244,54216,"Frame","Frame",,0.0359,0.0161,0,0,0.0359,0,0.0359,0,0,0,0
Frame,127374,1781696217694315,54216,"Frame","Frame",,0.0402,0.0173,4.1822,4.1434,4.1822,2.31293,4.1822,21,2184,0,0
Frame,127375,1781696217694381,54216,"Frame","Frame",,0.0363,0.0163,0,0,0.0363,0,0.0363,0,0,0,0
Frame,127376,1781696217694443,54216,"Frame","Frame",,0.0349,0.0154,0,0,0.0349,0,0.0349,0,0,0,0
Frame,127377,1781696217694506,54216,"Frame","Frame",,0.0353,0.016,0,0,0.0353,0,0.0353,0,0,0,0
Frame,127378,1781696217694568,54216,"Frame","Frame",,0.0345,0.0154,0,0,0.0345,0,0.0345,0,0,0,0
Frame,127379,1781696217694630,54216,"Frame","Frame",,0.0346,0.0154,0,0,0.0346,0,0.0346,0,0,0,0
Frame,127380,1781696217694692,54216,"Frame","Frame",,0.0346,0.0154,0,0,0.0346,0,0.0346,0,0,0,0
Frame,127381,1781696217694754,54216,"Frame","Frame",,0.0345,0.0154,0,0,0.0345,0,0.0345,0,0,0,0
Frame,127382,1781696217694818,54216,"Frame","Frame",,0.0358,0.0161,0,0,0.0358,0,0.0358,0,0,0,0
Frame,127383,1781696217694880,54216,"Frame","Frame",,0.0347,0.0154,0,0,0.0347,0,0.0347,0,0,0,0
Frame,127384,1781696217694942,54216,"Frame","Frame",,0.0349,0.0155,0,0,0.0349,0,0.0349,0,0,0,0
Frame,127385,1781696217695004,54216,"Frame","Frame",,0.0347,0.0154,0,0,0.0347,0,0.0347,0,0,0,0
Frame,127386,1781696217695066,54216,"Frame","Frame",,0.035,0.0159,0,0,0.035,0,0.035,0,0,0,0
Frame,127387,1781696217695128,54216,"Frame","Frame",,0.0346,0.0153,0,0,0.0346,0,0.0346,0,0,0,0
Frame,127388,1781696217695190,54216,"Frame","Frame",,0.0348,0.0156,0,0,0.0348,0,0.0348,0,0,0,0
Frame,127389,1781696217695253,54216,"Frame","Frame",,0.0349,0.0154,0,0,0.0349,0,0.0349,0,0,0,0
Frame,127390,1781696217695315,54216,"Frame","Frame",,0.0346,0.0156,0,0,0.0346,0,0.0346,0,0,0,0
Frame,127391,1781696217695377,54216,"Frame","Frame",,0.0346,0.0154,0,0,0.0346,0,0.0346,0,0,0,0
Frame,127392,1781696217695440,54216,"Frame","Frame",,0.0351,0.0157,0,0,0.0351,0,0.0351,0,0,0,0
Frame,127393,1781696217695503,54216,"Frame","Frame",,0.0353,0.0158,0,0,0.0353,0,0.0353,0,0,0,0
Frame,127394,1781696217695565,54216,"Frame","Frame",,0.0346,0.0155,0,0,0.0346,0,0.0346,0,0,0,0
Frame,127395,1781696217695631,54216,"Frame","Frame",,0.0376,0.0162,0,0,0.0376,0,0.0376,0,0,0,0
Frame,127396,1781696217695694,54216,"Frame","Frame",,0.035,0.0156,0,0,0.035,0,0.035,0,0,0,0
Frame,127397,1781696217695756,54216,"Frame","Frame",,0.0346,0.0155,0,0,0.0346,0,0.0346,0,0,0,0
Frame,127398,1781696217695818,54216,"Frame","Frame",,0.0345,0.0155,0,0,0.0345,0,0.0345,0,0,0,0
Frame,127399,1781696217695879,54216,"Frame","Frame",,0.0344,0.0153,0,0,0.0344,0,0.0344,0,0,0,0
Frame,127400,1781696217695942,54216,"Frame","Frame",,0.0349,0.0153,0,0,0.0349,0,0.0349,0,0,0,0
Frame,127401,1781696217696004,54216,"Frame","Frame",,0.0347,0.0154,0,0,0.0347,0,0.0347,0,0,0,0
Frame,127402,1781696217696066,54216,"Frame","Frame",,0.035,0.0157,0,0,0.035,0,0.035,0,0,0,0
Frame,127403,1781696217696131,54216,"Frame","Frame",,0.035,0.0155,0,0,0.035,0,0.035,0,0,0,0
Frame,127404,1781696217696194,54216,"Frame","Frame",,0.0351,0.016,0,0,0.0351,0,0.0351,0,0,0,0
Frame,127405,1781696217696256,54216,"Frame","Frame",,0.0347,0.0154,0,0,0.0347,0,0.0347,0,0,0,0
Frame,127406,1781696217696321,54216,"Frame","Frame",,0.0368,0.0165,0,0,0.0368,0,0.0368,0,0,0,0
Frame,127407,1781696217696386,54216,"Frame","Frame",,0.037,0.0169,0,0,0.037,0,0.037,0,0,0,0
Frame,127408,1781696217696454,54216,"Frame","Frame",,0.039,0.0175,0,0,0.039,0,0.039,0,0,0,0
Frame,127409,1781696217696521,54216,"Frame","Frame",,0.0389,0.017,0,0,0.0389,0,0.0389,0,0,0,0
Frame,127410,1781696217696588,54216,"Frame","Frame",,0.0388,0.0174,0,0,0.0388,0,0.0388,0,0,0,0
Frame,127411,1781696217696658,54216,"Frame","Frame",,0.0417,0.0196,0,0,0.0417,0,0.0417,0,0,0,0
Frame,127412,1781696217696727,54216,"Frame","Frame",,0.0413,0.0196,0,0,0.0413,0,0.0413,0,0,0,0
Frame,127413,1781696217696799,54216,"Frame","Frame",,0.0424,0.02,0,0,0.0424,0,0.0424,0,0,0,0
Frame,127414,1781696217696872,54216,"Frame","Frame",,0.0446,0.0201,0,0,0.0446,0,0.0446,0,0,0,0
Frame,127415,1781696217696947,54216,"Frame","Frame",,0.046,0.0206,0,0,0.046,0,0.046,0,0,0,0
Frame,127416,1781696217697023,54216,"Frame","Frame",,0.0459,0.0212,0,0,0.0459,0,0.0459,0,0,0,0
Frame,127417,1781696217697099,54216,"Frame","Frame",,0.0467,0.0209,0,0,0.0467,0,0.0467,0,0,0,0
Frame,127418,1781696217697171,54216,"Frame","Frame",,0.0431,0.0196,0,0,0.0431,0,0.0431,0,0,0,0
